C1	C2	weight
USA	Mexico	1
USA	China	3
USA	Canada	8
Germany	Sweden	1
USA	Belgium	3
USA	Germany	4
Belgium	Germany	1
Singapore	China	1
Germany	Canada	1
UK	Spain	2
Korea	Canada	1
Brazil	Canada	1
Italy	Sweden	1
Canada	France	2
Finland	Italy	1
France	Canada	1
UK	Slovenia	1
UK	Canada	2
Slovenia	Canada	1
Denmark	Germany	2
USA	India	1
Finland	UK	1
USA	Switzerland	1
USA	Austria	1
USA	UK	2
Switzerland	Spain	1
UK	China	1
USA	France	2
UK	France	2
UK	Lebanon	1
Belgium	Canada	1
USA	Japan	1
China	France	1
USA	Brazil	1
Denmark	UK	1
New Zealand	Canada	1
USA	Korea	1
New Zealand	Australia	1
