C1	C2	weight
USA	Canada	24
Finland	Denmark	3
Romania	USA	1
USA	UK	15
Denmark	UK	4
Denmark	Ireland	1
UK	Ireland	6
UK	Germany	8
Austria	Canada	3
USA	Sweden	3
USA	Mexico	1
USA	Hong Kong	3
Germany	Sweden	2
USA	Belgium	4
USA	Germany	17
Belgium	Germany	2
Singapore	Hong Kong	2
Germany	Canada	3
UK	Spain	5
Korea	Canada	2
Brazil	Canada	1
Italy	Sweden	3
Canada	France	9
Finland	Italy	1
France	Canada	6
UK	Slovenia	1
UK	Canada	10
Slovenia	Canada	1
Denmark	Germany	10
USA	India	10
Finland	UK	2
USA	Switzerland	4
USA	Austria	2
Switzerland	Spain	1
UK	China	3
USA	France	5
UK	France	7
UK	Lebanon	1
Belgium	Canada	1
USA	Japan	5
Hong Kong	France	1
USA	Brazil	2
New Zealand	Canada	7
USA	Korea	11
New Zealand	Australia	1
USA	China	18
UK	India	2
USA	Greece	1
Australia	UK	3
USA	Namibia	1
Namibia	India	1
USA	Israel	6
Bulgaria	UK	1
USA	Spain	1
Denmark	Sweden	3
Taiwan	Japan	2
UK	Switzerland	5
Korea	Japan	1
Malaysia	UK	3
Japan	Canada	2
Finland	USA	6
Singapore	Sweden	3
Singapore	Turkey	1
Sweden	Turkey	1
Denmark	Switzerland	1
USA	Taiwan	1
China	India	1
Netherlands	Korea	1
Netherlands	Canada	4
Netherlands	UK	4
UK	Hong Kong	2
UK	Korea	1
Finland	Qatar	1
USA	Finland	2
Denmark	Korea	1
Germany	Korea	2
Denmark	Austria	2
Germany	Austria	4
USA	New Zealand	1
UK	Portugal	2
Korea	China	1
Netherlands	Switzerland	1
USA	Romania	1
Switzerland	Canada	2
Switzerland	Austria	1
Canada	Austria	1
UAE	Korea	1
Italy	UK	3
USA	Denmark	3
Netherlands	USA	1
Finland	France	1
Finland	Canada	2
Scotland	Sweden	2
Italy	Scotland	1
Scotland	UK	1
UK	Ecuador	1
Germany	Switzerland	1
Finland	Norway	1
UK	Norway	1
USA	Portugal	1
Germany	Portugal	1
Germany	Finland	1
Portugal	Finland	1
USA	Singapore	1
Denmark	Egypt	1
Denmark	Japan	1
Egypt	Japan	2
China	Sweden	1
USA	South Africa	1
UK	Greece	1
Greece	Germany	1
USA	Italy	1
USA	Netherlands	1
Italy	Denmark	1
China	Japan	1
Switzerland	Germany	1
Netherlands	Finland	1
China	Hong Kong	2
Finland	Australia	1
Australia	USA	1
Australia	Korea	1
Finland	Japan	1
Malaysia	Canada	1
Finland	Germany	1
Portugal	Canada	1
USA	Scotland	1
Romania	Spain	1
USA	Qatar	1
Denmark	Spain	1
China	Canada	1
UK	Japan	1
Japan	France	1
USA	Turkey	1
France	Turkey	1
Switzerland	Brazil	1
Austria	UK	1
Austria	Spain	1
Brazil	France	1
USA	UAE	3
UK	Cyprus	1
Germany	Hong Kong	1
Germany	Singapore	1
UK	Australia	1
New Zealand	France	1
